Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32
조사명,가산로(2103)_하_2_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
조사자,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
노선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
행선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
차로,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
시점,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
종점,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
리포트간격(m),10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
시작시간,2022-03-23 11:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
종료시간,2022-03-23 11:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거리,도로현황,도로표면,소성변형,종단평탄성,,궤적,,도로포장파손 분석결과,,SPI,,,AP종방향균열[m 아스팔트],,,AP횡방향균열[m 아스팔트],,,AP시공줄눈[m 아스팔트],,,AP거북등균열[m² 아스팔트],,,AP패칭[m² 아스팔트],,,AP포트홀[m² 아스팔트],,,분석 관심 폭
[km],이미지,이미지,직선자[mm],평균[m/km],위도[˚],경도[˚],균열량(m²),균열율(%),도시고속도로,주간선도로,보조간선도로,L,M,H,L,M,H,L,M,H,L,M,H,L,M,H,L,M,H,비고,Width [m]
0.01,가산로(2103)_하_2_2_000000000.jpg,가산로(2103)_하_2_2_s000010000.jpg,3.49,2.53,37.47776614,126.8913644,0,0,7.48,7.71,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.614
0.02,가산로(2103)_하_2_2_000010000.jpg,가산로(2103)_하_2_2_s000020000.jpg,3.42,2.94,37.47783717,126.8912951,0,0,7.34,7.59,7.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.614
0.03,가산로(2103)_하_2_2_000020000.jpg,가산로(2103)_하_2_2_s000030000.jpg,4.19,4.12,37.47791245,126.8912329,1.58,4.16,6.39,6.6,6.75,0.9,0,0,0,0,0,0,0,0,1.49,0,0,0,0,0,0,0,0,맨홀,3.334
0.04,가산로(2103)_하_2_2_000030000.jpg,가산로(2103)_하_2_2_s000040000.jpg,5.38,2.31,37.47797505,126.8911674,2.6724,7.03,6.45,6.47,6.48,6.8243,0,0,0,0,0,0,0,0,1.99,0,0,0,0,0,0,0,0,,3.334
0.05,가산로(2103)_하_2_2_000040000.jpg,가산로(2103)_하_2_2_s000050000.jpg,6.24,3.56,37.47803992,126.8911043,0.12,0.32,7.11,7.35,7.54,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,,3.334
0.06,가산로(2103)_하_2_2_000050000.jpg,가산로(2103)_하_2_2_s000060000.jpg,6.24,9.61,37.4781211,126.8910388,5.58,14.68,1,1,1,1.1,0,0,0,0,0,0,0,0,0,0,0,5.47,0,0,0,0,0,,3.434
0.07,가산로(2103)_하_2_2_000060000.jpg,가산로(2103)_하_2_2_s000070000.jpg,4.4,7.76,37.47823035,126.8909579,4.04,10.63,1.59,2.33,2.93,0.6,0,0,0,0,0,0,0,0,0.28,0,0,3.7,0,0,0,0,0,,3.441
0.08,가산로(2103)_하_2_2_000070000.jpg,가산로(2103)_하_2_2_s000080000.jpg,9.85,17.31,37.47830154,126.8908978,2.41,6.34,1,1,1,1,0,0,0,0,0,0,0,0,2.04,0.04,0,0.23,0,0,0,0,0,맨홀,3.472
0.09,가산로(2103)_하_2_2_000080000.jpg,가산로(2103)_하_2_2_s000090000.jpg,5.26,6.53,37.47837337,126.8908365,5.77,15.18,3.36,3.84,4.2,0,0,0,0,0,0,0,0,0,0,0,0,5.77,0,0,0,0,0,,3.472
0.1,가산로(2103)_하_2_2_000090000.jpg,가산로(2103)_하_2_2_s000100000.jpg,7.95,3.85,37.47844419,126.8907706,6.45,16.97,4.94,5,5.03,4.5,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,,3.472
0.11,가산로(2103)_하_2_2_000100000.jpg,가산로(2103)_하_2_2_s000110000.jpg,4.86,3.93,37.47851348,126.8907037,3.42,9,5.62,5.79,5.91,0,0,0,0,0,0,0,0,0,0,0,0,3.42,0,0,0,0,0,,3.532
0.12,가산로(2103)_하_2_2_000110000.jpg,가산로(2103)_하_2_2_s000120000.jpg,4.83,4.14,37.47858613,126.8906389,0.2,0.53,5.87,6.24,6.55,1.4,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,,3.532
0.13,가산로(2103)_하_2_2_000120000.jpg,가산로(2103)_하_2_2_s000130000.jpg,4.83,16.47,37.47867729,126.8905624,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.532
0.14,가산로(2103)_하_2_2_000130000.jpg,가산로(2103)_하_2_2_s000140000.jpg,7.05,9.17,37.47875335,126.8904927,0.3666,0.96,1.13,1.94,2.6,0.7657,0,0,0,0,0,0,0,0,0.29,0,0,0,0,0,0,0,0,맨홀,3.532
0.15,가산로(2103)_하_2_2_000140000.jpg,가산로(2103)_하_2_2_s000150000.jpg,7.31,9.25,37.47882621,126.8904282,0.5683,1.5,1.26,2.06,2.71,2.5828,0,0,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,맨홀,3.597
0.16,가산로(2103)_하_2_2_000150000.jpg,가산로(2103)_하_2_2_s000160000.jpg,7.55,9.64,37.47889807,126.8903639,0.3841,1.01,1,1.11,1.84,0.4414,0,0,1,0,0,0,0,0,0.24,0,0,0,0,0,0,0,0,,3.597
0.17,가산로(2103)_하_2_2_000160000.jpg,가산로(2103)_하_2_2_s000170000.jpg,7.58,11.17,37.47896897,126.8902985,0,0,1,1,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.688
0.18,가산로(2103)_하_2_2_000170000.jpg,가산로(2103)_하_2_2_s000180000.jpg,6.31,4.76,37.47904314,126.8902332,0,0,6.06,6.42,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.688
0.19,가산로(2103)_하_2_2_000180000.jpg,가산로(2103)_하_2_2_s000190000.jpg,2.77,5.46,37.4791187,126.890171,2.46,6.47,5.31,5.64,5.88,0,0,0,0,0,0,0,0,0,2.46,0,0,0,0,0,0,0,0,,3.688
0.2,가산로(2103)_하_2_2_000190000.jpg,가산로(2103)_하_2_2_s000200000.jpg,3.61,6.69,37.47919575,126.8901121,9.8541,25.93,3.59,3.81,3.95,6.4414,0.2,0,0.4,0,0,0,0,0,8.29,0.85,0.01,0,0,0,0,0,0,,3.5
